sebis_total_pre,sebis_total_post,delta_sebis_total,sebis_device_pre,sebis_device_post,delta_sebis_device,sebis_password_pre,sebis_password_post,delta_sebis_password,sebis_updates_pre,sebis_updates_post,delta_sebis_updates,sebis_proactive_pre,sebis_proactive_post,delta_sebis_proactive,ux_usefulness,ux_ease,ux_relevance,ux_trust,ux_overall
3.625,4.75,1.125,3.75,4.75,1.0,4.0,4.75,0.75,3.25,4.75,1.5,3.5,4.75,1.25,4.0,4.333,4.0,4.667,4.25
3.5,4.375,0.875,3.5,4.75,1.25,3.0,4.25,1.25,3.75,4.75,1.0,3.75,3.75,0.0,4.333,4.667,5.0,4.667,4.667
3.0,4.0,1.0,2.75,4.25,1.5,3.25,3.75,0.5,3.5,4.0,0.5,2.5,4.0,1.5,3.333,3.0,3.333,3.0,3.167
3.375,4.375,1.0,3.75,4.5,0.75,3.25,4.25,1.0,3.0,4.5,1.5,3.5,4.25,0.75,3.667,3.333,3.333,3.0,3.333
3.125,4.188,1.062,3.0,4.25,1.25,2.25,4.5,2.25,3.75,4.5,0.75,3.5,3.5,0.0,4.333,4.0,4.333,4.667,4.333
4.0,4.5,0.5,3.75,4.25,0.5,4.25,4.5,0.25,4.0,4.5,0.5,4.0,4.75,0.75,4.667,5.0,5.0,4.0,4.667
3.375,4.562,1.188,3.75,4.75,1.0,3.75,4.75,1.0,3.25,4.5,1.25,2.75,4.25,1.5,4.667,5.0,4.667,4.667,4.75
2.688,3.938,1.25,2.0,3.75,1.75,2.25,4.0,1.75,4.25,3.75,-0.5,2.25,4.25,2.0,3.333,3.333,5.0,3.333,3.75
4.125,4.438,0.312,4.0,4.5,0.5,4.5,4.25,-0.25,4.0,4.5,0.5,4.0,4.5,0.5,5.0,4.0,5.0,4.667,4.667
3.562,4.188,0.625,4.5,4.5,0.0,1.5,4.0,2.5,3.5,4.0,0.5,4.75,4.25,-0.5,4.667,4.0,4.667,4.667,4.5
4.0,4.688,0.688,4.75,4.25,-0.5,4.5,5.0,0.5,3.0,5.0,2.0,3.75,4.5,0.75,4.0,4.0,3.667,4.0,3.917
3.938,3.125,-0.812,4.75,3.25,-1.5,4.0,3.0,-1.0,3.0,3.0,0.0,4.0,3.25,-0.75,4.333,3.0,3.0,3.0,3.333
2.875,4.75,1.875,3.5,4.75,1.25,2.0,4.25,2.25,3.0,5.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0
2.812,4.5,1.688,3.25,4.75,1.5,2.0,4.25,2.25,3.75,4.5,0.75,2.25,4.5,2.25,4.667,4.667,4.667,4.0,4.5
3.0,4.0,1.0,3.25,4.25,1.0,2.25,4.25,2.0,2.0,4.0,2.0,4.5,3.5,-1.0,5.0,4.667,5.0,5.0,4.917
2.625,2.625,0.0,2.75,2.75,0.0,2.0,2.5,0.5,3.5,2.5,-1.0,2.25,2.75,0.5,5.0,4.333,4.0,4.333,4.417
4.312,3.938,-0.375,4.75,4.25,-0.5,4.75,3.75,-1.0,4.75,4.0,-0.75,3.0,3.75,0.75,4.667,5.0,5.0,3.667,4.583
